content,category
The government passed a new policy today.,Politics
The football team won their final match.,Sports
A major tech company released a new smartphone.,Technology
The stock market saw significant growth this week.,Business
The actor won an award for best performance.,Entertainment
A new health study reveals benefits of daily walking.,Health
Elections are happening in several states this weekend.,Politics
Basketball fans celebrate a major upset victory.,Sports
Advances in AI are transforming modern technology.,Technology
Doctors warn about rising flu cases this season.,Health
